Time|s,zon.T|degC
1119600,21.939173
1120500,21.447931
1121400,20.953943
1122300,20.587366
1123200,20.336054
1124100,20.167994
1125000,20.055292
1125611,19.999994
1125611,19.999994
1125900,20.01803
1126800,20.424128
1127700,20.9266
1128600,21.307398
1129500,21.558496
1130400,21.715662
1131300,21.813837
1132200,21.881586
1133100,21.93371
1134000,21.974482
1134776,21.999994
1134776,21.999994
1134900,21.991144
1135800,21.566706
1136700,21.056482
1137600,20.664179
1138500,20.39004
1139400,20.202997
1140300,20.075068
1141039.2,19.999994
1141039.2,19.999994
1141200,19.998926
1142100,20.343378
1143000,20.849085
1143900,21.246698
1144800,21.513666
1145700,21.684687
1146600,21.793177
1147500,21.862696
1148400,21.90838
1149300,21.939661
1150200,21.962427
1151100,21.980188
1152000,21.99499
1152340.1,21.999994
1152340.1,21.999994
1152900,21.82406
1153800,21.293756
1154700,20.828943
1155600,20.494654
1156500,20.26983
1157400,20.12298
1158300,20.028162
1158665.8,19.999994
1158665.8,19.999994
1159200,20.094812
1160100,20.580439
1161000,21.065607
1161900,21.416346
1162800,21.646357
1163700,21.793116
1164600,21.887232
1165500,21.949
1166400,21.990839
1166650.2,21.999994
1166650.2,21.999994
1167300,21.78753
1168200,21.266596
1169100,20.8258
1170000,20.51388
1170900,20.30691
1171800,20.174067
1172700,20.09051
1173600,20.038538
1174500,20.006433
1174747.8,19.999994
1174747.8,19.999994
1175400,20.169184
1176300,20.700739
1177200,21.190363
1178100,21.536768
1179000,21.760431
1179900,21.89892
1180800,21.982569
1181065.2,21.999994
1181065.2,21.999994
1181700,21.807978
1182600,21.29458
1183500,20.850733
1184400,20.530207
1185300,20.310541
1186200,20.16192
1187100,20.060816
1187862.6,19.999994
1187862.6,19.999994
1188000,19.999933
1188900,20.345667
1189800,20.86233
1190700,21.270746
1191600,21.544428
1192500,21.717432
1193400,21.824976
1194300,21.89184
1195200,21.933344
1196100,21.95791
1197000,21.96911
1197900,21.97082
1198800,21.967554
1199700,21.964167
1200600,21.963526
1201500,21.965235
1202400,21.966547
1203300,21.964533
1204200,21.959284
1205100,21.951777
1206000,21.94259
1206900,21.931726
1207800,21.91836
1208700,21.903528
1209600,21.890253
1210500,21.881403
1211400,21.876062
1212300,21.872858
1213200,21.870905
1214100,21.869684
1215000,21.86886
1215900,21.86831
1216800,21.867914
1217700,21.867579
1218600,21.867334
1219500,21.86712
1220400,21.866999
1221300,21.86703
1222200,21.86764
1223100,21.869074
1224000,21.871393
1224900,21.874598
1225800,21.878778
1226700,21.883875
1227600,21.88943
1228500,21.89474
1229400,21.899134
1230300,21.902735
1231200,21.90655
1232100,21.912073
1233000,21.92019
1233900,21.930567
1234800,21.942163
1235700,21.953669
1236600,21.964777
1237500,21.975733
1238400,21.987024
1239300,21.999231
1239353.4,21.999994
1239353.4,21.999994
1240200,21.664698
1241100,21.142115
1242000,20.730646
1242900,20.447077
1243800,20.26153
1244700,20.14361
1245600,20.07055
1246500,20.026758
1247400,20.001917
1247501.8,19.999994
1247501.8,19.999994
1248300,20.250238
